IncidentNumber,CallType,CallDate,Zipcode,FinalPriority,UnitType,Delay
2003554,Structure Fire,01/12/2002,94103.0,3.0,ENGINE,3.3333333
2003576,Medical Incident,01/12/2002,94118.0,3.0,MEDIC,3.9666667
2003577,Medical Incident,01/12/2002,94117.0,3.0,ENGINE,3.25
2003584,Medical Incident,01/12/2002,94103.0,3.0,MEDIC,4.2833333
2003593,Medical Incident,01/12/2002,94115.0,3.0,MEDIC,2.3
2003618,Odor (Strange / Unknown),01/12/2002,94116.0,3.0,ENGINE,2.8
2003630,Medical Incident,01/12/2002,94109.0,3.0,MEDIC,2.3833334
2003639,Medical Incident,01/12/2002,94110.0,3.0,ENGINE,2.45
2003642,Medical Incident,01/12/2002,94109.0,2.0,MEDIC,6.25
2003643,Medical Incident,01/12/2002,94103.0,2.0,MEDIC,3.6166666
2003647,Medical Incident,01/12/2002,94121.0,3.0,MEDIC,4.65
2003649,Odor (Strange / Unknown),01/12/2002,94122.0,3.0,CHIEF,4.1833334
2003656,Medical Incident,01/12/2002,94103.0,3.0,ENGINE,1.95
2003688,Medical Incident,01/12/2002,94131.0,3.0,ENGINE,3.55
2003695,Structure Fire,01/12/2002,94102.0,3.0,MEDIC,1.5666667
2003724,Medical Incident,01/12/2002,94124.0,3.0,MEDIC,2.7833333
2003735,Medical Incident,01/12/2002,94134.0,3.0,MEDIC,4.5333333
2003756,Alarms,01/12/2002,94117.0,3.0,CHIEF,2.0833333
2003769,Medical Incident,01/12/2002,94102.0,3.0,MEDIC,1.25
2003770,Smoke Investigation (Outside),01/12/2002,94110.0,3.0,ENGINE,2.1166666
2003777,Structure Fire,01/12/2002,94102.0,3.0,CHIEF,1.9333333
2003800,Medical Incident,01/12/2002,94102.0,3.0,ENGINE,3.1666667
2003814,Medical Incident,01/13/2002,94107.0,3.0,ENGINE,4.766667
2003815,Medical Incident,01/13/2002,94116.0,3.0,ENGINE,3.45
2003818,Medical Incident,01/13/2002,94109.0,2.0,MEDIC,5.2
2003843,Medical Incident,01/13/2002,94105.0,3.0,ENGINE,3.5333333
2003848,Medical Incident,01/13/2002,94103.0,3.0,RESCUE SQUAD,4.6666665
2003876,Medical Incident,01/13/2002,94110.0,3.0,TRUCK,1.55
2003880,Medical Incident,01/13/2002,94112.0,3.0,MEDIC,1.4666667
2003887,Structure Fire,01/13/2002,94114.0,3.0,RESCUE SQUAD,3.05
2003916,Other,01/13/2002,94107.0,3.0,ENGINE,4.9333334
2003922,Alarms,01/13/2002,94109.0,3.0,CHIEF,1.8
2003926,Alarms,01/13/2002,94109.0,3.0,ENGINE,3.0166667
2003962,Alarms,01/13/2002,94102.0,3.0,TRUCK,1.9833333
2003965,Medical Incident,01/13/2002,94134.0,3.0,MEDIC,1.7
2003967,Medical Incident,01/13/2002,94133.0,3.0,MEDIC,2.5
2003979,Alarms,01/13/2002,94103.0,3.0,TRUCK,2.3333333
2004003,Medical Incident,01/13/2002,94102.0,3.0,MEDIC,1.8
2004006,Medical Incident,01/13/2002,94110.0,3.0,MEDIC,1.8
2004009,Medical Incident,01/13/2002,94127.0,3.0,RESCUE CAPTAIN,3.1
2004070,Structure Fire,01/13/2002,94121.0,3.0,CHIEF,4.55
2004070,Structure Fire,01/13/2002,94121.0,3.0,TRUCK,2.8666666
2004071,Medical Incident,01/13/2002,94114.0,3.0,TRUCK,3.3333333
2004089,Alarms,01/13/2002,94115.0,3.0,CHIEF,1.7333333
2004091,Outside Fire,01/13/2002,94121.0,3.0,ENGINE,1.2166667
2004108,Medical Incident,01/14/2002,94132.0,3.0,ENGINE,3.6333334
2004119,Medical Incident,01/14/2002,94115.0,3.0,MEDIC,3.9166667
2004151,Medical Incident,01/14/2002,94133.0,3.0,ENGINE,3.2666667
2004152,Citizen Assist / Service Call,01/14/2002,94132.0,3.0,TRUCK,5.6
2004160,Structure Fire,01/14/2002,94124.0,3.0,TRUCK,1.1666666
2004161,Medical Incident,01/14/2002,94110.0,3.0,MEDIC,2.85
2004162,Medical Incident,01/14/2002,94103.0,3.0,ENGINE,2.3166666
2004181,Medical Incident,01/14/2002,94133.0,3.0,MEDIC,2.7333333
2004214,Alarms,01/14/2002,94105.0,3.0,TRUCK,2.0
2004216,Medical Incident,01/14/2002,94104.0,3.0,ENGINE,2.8
2004216,Medical Incident,01/14/2002,94104.0,3.0,RESCUE SQUAD,7.25
2004218,Structure Fire,01/14/2002,94112.0,3.0,ENGINE,1.3166667
2004233,Alarms,01/14/2002,94115.0,3.0,TRUCK,2.8833334
2004238,Structure Fire,01/14/2002,94122.0,3.0,ENGINE,2.3
2004265,Structure Fire,01/14/2002,94102.0,3.0,ENGINE,1.8166667
2004266,Medical Incident,01/14/2002,94102.0,3.0,MEDIC,3.5166667
2004286,Medical Incident,01/14/2002,94102.0,,MEDIC,4.5333333
2004297,Electrical Hazard,01/14/2002,,3.0,ENGINE,2.0666666
2004303,Structure Fire,01/14/2002,94110.0,3.0,ENGINE,0.81666666
2004308,Medical Incident,01/14/2002,94121.0,3.0,ENGINE,4.2833333
2004340,Medical Incident,01/14/2002,94110.0,3.0,MEDIC,1.5166667
2004350,Medical Incident,01/14/2002,94110.0,3.0,MEDIC,2.1666667
2004368,Medical Incident,01/15/2002,94114.0,3.0,MEDIC,2.9833333
2004370,Medical Incident,01/15/2002,94103.0,2.0,MEDIC,1.25
2004404,Structure Fire,01/15/2002,94121.0,3.0,RESCUE CAPTAIN,3.5333333
2004404,Structure Fire,01/15/2002,94121.0,3.0,RESCUE SQUAD,1.9333333
2004408,Medical Incident,01/15/2002,94103.0,3.0,ENGINE,11.916667
2004412,Alarms,01/15/2002,94133.0,3.0,CHIEF,1.8833333
2004418,Medical Incident,01/15/2002,94111.0,3.0,MEDIC,1.95
2004430,Odor (Strange / Unknown),01/15/2002,94102.0,3.0,ENGINE,1.2666667
2004431,Medical Incident,01/15/2002,94102.0,3.0,MEDIC,2.2
2004458,Medical Incident,01/15/2002,94124.0,3.0,MEDIC,1.9166666
2004480,Structure Fire,01/15/2002,94112.0,3.0,ENGINE,0.93333334
2004481,Medical Incident,01/15/2002,94103.0,3.0,MEDIC,2.8333333
2004498,Medical Incident,01/15/2002,94103.0,3.0,PRIVATE,4.266667
2004508,Alarms,01/15/2002,94103.0,3.0,CHIEF,2.2333333
2004521,Medical Incident,01/15/2002,94114.0,2.0,MEDIC,5.116667
2004528,Medical Incident,01/15/2002,94133.0,3.0,CHIEF,4.45
2004528,Medical Incident,01/15/2002,94133.0,3.0,TRUCK,8.633333
2004528,Medical Incident,01/15/2002,94133.0,3.0,SUPPORT,95.28333
2004537,Structure Fire,01/15/2002,94111.0,3.0,ENGINE,1.9333333
2004558,Other,01/15/2002,94118.0,3.0,TRUCK,2.0666666
2004562,Alarms,01/15/2002,94105.0,3.0,ENGINE,2.6333334
2004577,Medical Incident,01/15/2002,94110.0,3.0,ENGINE,2.6833334
2004577,Medical Incident,01/15/2002,94110.0,,MEDIC,2.6666667
2004610,Medical Incident,01/15/2002,94103.0,3.0,MEDIC,5.45
2004616,Outside Fire,01/15/2002,94118.0,3.0,ENGINE,2.1833334
2004619,Alarms,01/15/2002,94103.0,3.0,TRUCK,2.8333333
2004641,Medical Incident,01/15/2002,94117.0,2.0,MEDIC,7.6
2004670,Medical Incident,01/15/2002,94121.0,3.0,ENGINE,2.35
2004721,Medical Incident,01/16/2002,94132.0,3.0,MEDIC,6.133333
2004724,Structure Fire,01/16/2002,94110.0,3.0,RESCUE CAPTAIN,5.1833334
2004761,Medical Incident,01/16/2002,94102.0,3.0,MEDIC,1.0166667
2004792,Alarms,01/16/2002,94104.0,3.0,CHIEF,1.55
2004844,Medical Incident,01/16/2002,94122.0,3.0,RESCUE CAPTAIN,2.2166667
2004850,Medical Incident,01/16/2002,94110.0,3.0,ENGINE,3.5166667
2004857,Medical Incident,01/16/2002,94114.0,3.0,MEDIC,1.2666667
2004869,Alarms,01/16/2002,94103.0,3.0,ENGINE,3.2
2004871,Medical Incident,01/16/2002,94134.0,3.0,ENGINE,3.3333333
2004889,Medical Incident,01/16/2002,94121.0,3.0,ENGINE,2.45
2004895,Alarms,01/16/2002,94133.0,3.0,CHIEF,1.15
2004914,Medical Incident,01/16/2002,94103.0,3.0,ENGINE,2.35
2004934,Alarms,01/16/2002,94102.0,3.0,CHIEF,0.7
2004940,Medical Incident,01/16/2002,94124.0,2.0,MEDIC,3.4666667
2004975,Medical Incident,01/17/2002,94103.0,3.0,ENGINE,3.0333333
2004976,Structure Fire,01/17/2002,94110.0,3.0,ENGINE,3.1
2005001,Medical Incident,01/17/2002,94112.0,3.0,MEDIC,4.3333335
2005038,Medical Incident,01/17/2002,94131.0,3.0,ENGINE,6.9166665
2005072,Medical Incident,01/17/2002,94109.0,3.0,TRUCK,3.9666667
2005097,Medical Incident,01/17/2002,94102.0,3.0,RESCUE SQUAD,1.9333333
2005107,Alarms,01/17/2002,94115.0,3.0,TRUCK,2.5833333
2005142,Medical Incident,01/17/2002,94122.0,2.0,MEDIC,3.1333334
2005173,Medical Incident,01/17/2002,94110.0,3.0,MEDIC,5.2
2005222,Medical Incident,01/17/2002,94109.0,3.0,MEDIC,2.0
2005249,Outside Fire,01/18/2002,94116.0,3.0,ENGINE,2.2
2005250,Medical Incident,01/18/2002,94124.0,3.0,RESCUE CAPTAIN,3.8833334
2005258,Medical Incident,01/18/2002,94114.0,3.0,RESCUE CAPTAIN,4.35
2005282,Alarms,01/18/2002,94108.0,3.0,CHIEF,1.6333333
2005294,Alarms,01/18/2002,94133.0,3.0,ENGINE,4.516667
2005310,Structure Fire,01/18/2002,94117.0,3.0,CHIEF,1.6166667
2005321,Alarms,01/18/2002,94103.0,3.0,TRUCK,6.35
2005322,Alarms,01/18/2002,94108.0,3.0,TRUCK,1.1666666
2005329,Medical Incident,01/18/2002,94110.0,3.0,TRUCK,1.9833333
2005353,Other,01/18/2002,94102.0,3.0,MEDIC,7.983333
2005359,Medical Incident,01/18/2002,94110.0,3.0,MEDIC,4.483333
2005367,Medical Incident,01/18/2002,94110.0,3.0,MEDIC,2.8666666
2005377,Medical Incident,01/18/2002,94102.0,3.0,MEDIC,4.2833333
2005391,Structure Fire,01/18/2002,94112.0,3.0,ENGINE,2.15
2005404,Medical Incident,01/18/2002,94110.0,2.0,MEDIC,2.9
2005420,Medical Incident,01/18/2002,94102.0,3.0,ENGINE,3.8166666
2005445,Outside Fire,01/18/2002,94158.0,3.0,SUPPORT,1.5833334
2005450,Medical Incident,01/18/2002,94110.0,3.0,ENGINE,2.25
2005457,Odor (Strange / Unknown),01/18/2002,94123.0,3.0,ENGINE,2.05
2005468,Structure Fire,01/18/2002,94109.0,,ENGINE,1.7166667
2005469,Alarms,01/18/2002,94108.0,3.0,CHIEF,2.7666667
2005480,Medical Incident,01/18/2002,94110.0,2.0,MEDIC,13.55
2005510,Medical Incident,01/18/2002,94131.0,3.0,ENGINE,2.9333334
2005512,Medical Incident,01/18/2002,94102.0,3.0,ENGINE,3.85
2005552,Structure Fire,01/19/2002,94117.0,3.0,ENGINE,3.0166667
2005554,Structure Fire,01/19/2002,94109.0,3.0,TRUCK,2.7666667
2005569,Structure Fire,01/19/2002,94109.0,3.0,ENGINE,4.45
2005574,Medical Incident,01/19/2002,94103.0,,MEDIC,3.7666667
2005584,Smoke Investigation (Outside),01/19/2002,94118.0,3.0,ENGINE,2.6166666
2005599,Medical Incident,01/19/2002,94121.0,3.0,ENGINE,5.15
2005623,Structure Fire,01/19/2002,94105.0,3.0,RESCUE SQUAD,13.583333
2005674,Medical Incident,01/19/2002,94133.0,3.0,ENGINE,1.9666667
2005685,Citizen Assist / Service Call,01/19/2002,94107.0,3.0,ENGINE,3.6333334
2005693,Medical Incident,01/19/2002,94122.0,3.0,ENGINE,3.5166667
2005700,Medical Incident,01/19/2002,94110.0,3.0,MEDIC,1.65
2005716,Medical Incident,01/19/2002,94109.0,3.0,MEDIC,3.55
2005722,Structure Fire,01/19/2002,94102.0,3.0,ENGINE,0.8
2005734,Medical Incident,01/19/2002,94133.0,3.0,ENGINE,3.45
2005737,Medical Incident,01/19/2002,94118.0,2.0,MEDIC,6.5333333
2005740,Medical Incident,01/19/2002,94107.0,3.0,MEDIC,5.25
2005753,Medical Incident,01/19/2002,94102.0,2.0,MEDIC,5.0333333
2005758,Outside Fire,01/19/2002,94102.0,3.0,ENGINE,0.8666667
2005780,Structure Fire,01/19/2002,94102.0,3.0,ENGINE,0.93333334
2005795,Structure Fire,01/19/2002,94102.0,3.0,ENGINE,1.5333333
2005800,Medical Incident,01/19/2002,94123.0,3.0,MEDIC,1.75
2005804,Medical Incident,01/19/2002,94118.0,3.0,MEDIC,1.9666667
2005809,Medical Incident,01/19/2002,94127.0,3.0,MEDIC,1.6
2005821,Medical Incident,01/19/2002,94110.0,2.0,MEDIC,3.0666666
2005863,Alarms,01/20/2002,94131.0,3.0,ENGINE,2.9166667
2005869,Medical Incident,01/20/2002,94107.0,3.0,ENGINE,3.4
2005874,Medical Incident,01/20/2002,94110.0,2.0,MEDIC,2.8833334
2005887,Medical Incident,01/20/2002,94102.0,3.0,MEDIC,2.3333333
2005912,Structure Fire,01/20/2002,94127.0,3.0,CHIEF,1.7666667
2005912,Structure Fire,01/20/2002,94127.0,3.0,ENGINE,2.2833333
2005923,Medical Incident,01/20/2002,94110.0,3.0,ENGINE,3.0166667
2005928,Structure Fire,01/20/2002,94122.0,3.0,ENGINE,0.85
2005932,Structure Fire,01/20/2002,94107.0,3.0,CHIEF,2.2833333
2005948,Structure Fire,01/20/2002,94110.0,3.0,ENGINE,2.0
2005967,Structure Fire,01/20/2002,94103.0,3.0,ENGINE,3.3
2005974,Medical Incident,01/20/2002,94107.0,3.0,ENGINE,2.0
2005997,Medical Incident,01/20/2002,94109.0,3.0,MEDIC,4.5833335
2006003,Medical Incident,01/20/2002,94122.0,3.0,ENGINE,2.05
2006007,Medical Incident,01/20/2002,94103.0,3.0,MEDIC,3.1666667
2006013,Medical Incident,01/20/2002,94124.0,3.0,MEDIC,2.8833334
2006018,Medical Incident,01/20/2002,94103.0,3.0,RESCUE SQUAD,3.5666666
2006025,Alarms,01/20/2002,94117.0,3.0,ENGINE,1.4333333
2006036,Medical Incident,01/20/2002,94102.0,3.0,MEDIC,4.4666667
2006061,Medical Incident,01/20/2002,94109.0,3.0,ENGINE,3.7833333
2006066,Structure Fire,01/20/2002,94108.0,3.0,ENGINE,1.65
2006068,Medical Incident,01/20/2002,94124.0,3.0,ENGINE,2.6833334
2006071,Alarms,01/20/2002,94132.0,3.0,CHIEF,1.8166667
2006076,Other,01/20/2002,94107.0,3.0,TRUCK,4.266667
2006094,Medical Incident,01/20/2002,94107.0,3.0,TRUCK,3.8666666
2006099,Medical Incident,01/20/2002,94103.0,3.0,ENGINE,2.3833334
2006124,Medical Incident,01/21/2002,94112.0,2.0,MEDIC,8.15
2006135,Medical Incident,01/21/2002,94102.0,3.0,TRUCK,2.4166667
2006152,Structure Fire,01/21/2002,94105.0,3.0,ENGINE,2.4833333
2006199,Alarms,01/21/2002,94109.0,3.0,ENGINE,2.95
2006204,Structure Fire,01/21/2002,94103.0,3.0,ENGINE,1.9166666
2006223,Medical Incident,01/21/2002,94118.0,3.0,ENGINE,4.1
2006224,Medical Incident,01/21/2002,94102.0,3.0,MEDIC,3.6333334
2006236,Medical Incident,01/21/2002,94124.0,3.0,MEDIC,2.7833333
2006251,Medical Incident,01/21/2002,94103.0,3.0,MEDIC,2.3333333
2006256,Medical Incident,01/21/2002,94131.0,2.0,MEDIC,2.55
2006269,Medical Incident,01/21/2002,94103.0,3.0,ENGINE,4.85
2006270,Alarms,01/21/2002,94131.0,3.0,CHIEF,4.1666665
2006275,Structure Fire,01/21/2002,94117.0,3.0,MEDIC,1.6166667
2006297,Medical Incident,01/21/2002,94115.0,3.0,MEDIC,3.3666666
2006302,Alarms,01/21/2002,94102.0,3.0,TRUCK,3.0166667
2006351,Outside Fire,01/21/2002,94124.0,3.0,ENGINE,2.5166667
2006354,Medical Incident,01/21/2002,94123.0,2.0,MEDIC,2.1166666
2006359,Medical Incident,01/21/2002,94102.0,2.0,MEDIC,1.6166667
2006388,Medical Incident,01/22/2002,94115.0,3.0,MEDIC,2.8166666
2006423,Medical Incident,01/22/2002,94127.0,3.0,MEDIC,2.15
2006426,Citizen Assist / Service Call,01/22/2002,94102.0,3.0,ENGINE,6.6
2006461,Medical Incident,01/22/2002,94133.0,3.0,ENGINE,7.0666666
2006464,Medical Incident,01/22/2002,94102.0,2.0,MEDIC,5.766667
2006470,Medical Incident,01/22/2002,94124.0,3.0,ENGINE,4.516667
2006474,Medical Incident,01/22/2002,94111.0,3.0,ENGINE,4.4333334
2006475,Medical Incident,01/22/2002,94114.0,3.0,ENGINE,1.6166667
2006480,Structure Fire,01/22/2002,94103.0,3.0,TRUCK,3.1833334
2006481,Medical Incident,01/22/2002,94115.0,3.0,ENGINE,2.6166666
2006483,Medical Incident,01/22/2002,94105.0,3.0,MEDIC,3.4833333
2006485,Citizen Assist / Service Call,01/22/2002,94102.0,3.0,ENGINE,1.8
2006487,Structure Fire,01/22/2002,94110.0,3.0,ENGINE,1.0333333
2006513,Medical Incident,01/22/2002,94116.0,2.0,MEDIC,13.4
2006538,Alarms,01/22/2002,94133.0,3.0,TRUCK,2.3166666
2006540,Medical Incident,01/22/2002,94121.0,3.0,ENGINE,4.4333334
2006551,Structure Fire,01/22/2002,94133.0,3.0,ENGINE,2.8
2006558,Medical Incident,01/22/2002,94122.0,3.0,ENGINE,4.45
2006571,Medical Incident,01/22/2002,94110.0,3.0,ENGINE,4.2166667
2006582,Medical Incident,01/22/2002,94115.0,3.0,MEDIC,3.6833334
2006587,Medical Incident,01/22/2002,94107.0,3.0,CHIEF,5.983333
2006604,Medical Incident,01/22/2002,94110.0,2.0,ENGINE,8.716666
2006605,Structure Fire,01/22/2002,94103.0,3.0,TRUCK,1.0666667
2006610,Structure Fire,01/22/2002,94115.0,3.0,ENGINE,0.95
2006617,Alarms,01/22/2002,94110.0,3.0,CHIEF,2.3666666
2006620,Structure Fire,01/22/2002,94122.0,3.0,ENGINE,2.7833333
2006623,Alarms,01/22/2002,94109.0,3.0,TRUCK,4.2
2006627,Structure Fire,01/22/2002,94103.0,3.0,CHIEF,2.0833333
2006634,Alarms,01/22/2002,94115.0,3.0,ENGINE,2.3333333
2006642,Alarms,01/22/2002,94123.0,3.0,ENGINE,2.0
2006647,Structure Fire,01/22/2002,94103.0,3.0,ENGINE,1.3833333
2006673,Medical Incident,01/22/2002,94112.0,3.0,ENGINE,2.8
2006675,Medical Incident,01/22/2002,94115.0,3.0,RESCUE CAPTAIN,2.4
2006676,Structure Fire,01/22/2002,,3.0,TRUCK,1.4
2006689,Medical Incident,01/22/2002,94124.0,3.0,RESCUE CAPTAIN,1.7166667
2006703,Alarms,01/22/2002,94102.0,3.0,CHIEF,2.6
2006727,Medical Incident,01/23/2002,94110.0,3.0,MEDIC,3.1666667
2006746,Medical Incident,01/23/2002,94109.0,2.0,MEDIC,7.9333334
2006755,Medical Incident,01/23/2002,94122.0,3.0,MEDIC,5.5
2006756,Medical Incident,01/23/2002,94116.0,3.0,MEDIC,2.6666667
2006776,Medical Incident,01/23/2002,94124.0,3.0,ENGINE,2.7333333
2006785,Alarms,01/23/2002,94104.0,3.0,CHIEF,1.0166667
2006792,Alarms,01/23/2002,94133.0,3.0,TRUCK,2.0666666
2006793,Medical Incident,01/23/2002,94115.0,3.0,MEDIC,2.4
2006795,Medical Incident,01/23/2002,94114.0,3.0,TRUCK,6.4666667
2006823,Medical Incident,01/23/2002,94110.0,3.0,MEDIC,4.6833334
2006829,Medical Incident,01/23/2002,94133.0,2.0,MEDIC,0.81666666
2006832,Medical Incident,01/23/2002,94102.0,3.0,MEDIC,1.9166666
2006844,Other,01/23/2002,94110.0,3.0,MEDIC,15.966666
2006848,Medical Incident,01/23/2002,94118.0,3.0,ENGINE,1.35
2006867,Alarms,01/23/2002,94117.0,3.0,TRUCK,1.5333333
2006874,Medical Incident,01/23/2002,94122.0,3.0,ENGINE,3.7666667
2006898,Structure Fire,01/23/2002,94123.0,3.0,ENGINE,1.4666667
2006902,Medical Incident,01/23/2002,94102.0,3.0,ENGINE,2.6666667
2006915,Structure Fire,01/23/2002,94107.0,3.0,TRUCK,1.1
2006922,Medical Incident,01/23/2002,94107.0,3.0,MEDIC,5.483333
2006929,Medical Incident,01/23/2002,94133.0,3.0,ENGINE,3.05
2006935,Medical Incident,01/23/2002,94122.0,3.0,ENGINE,1.8166667
2006953,Medical Incident,01/23/2002,94109.0,3.0,ENGINE,1.8833333
2006961,Structure Fire,01/23/2002,94107.0,3.0,TRUCK,1.1833333
2006963,Medical Incident,01/23/2002,94110.0,3.0,TRUCK,2.7666667
2006967,Structure Fire,01/23/2002,94124.0,3.0,TRUCK,4.883333
2006968,Medical Incident,01/23/2002,94131.0,3.0,MEDIC,3.5833333
2006976,Structure Fire,01/23/2002,94103.0,3.0,ENGINE,1.3
2006993,Medical Incident,01/23/2002,94105.0,2.0,MEDIC,3.65
2007019,Structure Fire,01/24/2002,94103.0,3.0,TRUCK,2.4166667
2007035,Structure Fire,01/24/2002,94109.0,3.0,TRUCK,1.7666667
2007051,Alarms,01/24/2002,94102.0,3.0,ENGINE,1.8333334
2007056,Medical Incident,01/24/2002,94103.0,3.0,RESCUE CAPTAIN,1.8333334
2007095,Medical Incident,01/24/2002,94112.0,3.0,TRUCK,3.1
2007102,Medical Incident,01/24/2002,94114.0,3.0,ENGINE,2.4833333
2007143,Structure Fire,01/24/2002,94131.0,3.0,ENGINE,3.5666666
2007152,Medical Incident,01/24/2002,94102.0,3.0,PRIVATE,4.65
2007163,Citizen Assist / Service Call,01/24/2002,94109.0,3.0,TRUCK,42.583332
2007157,Medical Incident,01/24/2002,94102.0,2.0,MEDIC,6.2166667
2007167,Medical Incident,01/24/2002,94102.0,3.0,ENGINE,2.1833334
2007173,Structure Fire,01/24/2002,94109.0,3.0,RESCUE SQUAD,1.75
2007184,Smoke Investigation (Outside),01/24/2002,94111.0,3.0,ENGINE,2.2833333
2007186,Medical Incident,01/24/2002,94109.0,3.0,MEDIC,1.1166667
2007219,Structure Fire,01/24/2002,94118.0,3.0,TRUCK,1.2166667
2007225,Medical Incident,01/24/2002,94111.0,2.0,MEDIC,3.9833333
2007228,Medical Incident,01/24/2002,94110.0,3.0,TRUCK,2.5
2007230,Medical Incident,01/24/2002,94102.0,3.0,ENGINE,2.2666667
2007238,Structure Fire,01/24/2002,94110.0,3.0,ENGINE,1.8333334
2007246,Medical Incident,01/24/2002,94103.0,3.0,ENGINE,2.6
2007246,Medical Incident,01/24/2002,94103.0,3.0,MEDIC,2.9666667
2007269,Medical Incident,01/24/2002,,3.0,MEDIC,2.8666666
2007271,Structure Fire,01/24/2002,94118.0,3.0,ENGINE,1.3333334
2007291,Structure Fire,01/24/2002,94108.0,3.0,MEDIC,2.45
2007326,Citizen Assist / Service Call,01/25/2002,94122.0,3.0,ENGINE,2.5666666
2007346,Other,01/25/2002,94107.0,3.0,ENGINE,3.25
2007352,Structure Fire,01/25/2002,94111.0,3.0,CHIEF,3.9166667
2007358,Medical Incident,01/25/2002,94112.0,3.0,ENGINE,1.8666667
2007373,Structure Fire,01/25/2002,94107.0,3.0,CHIEF,5.25
2007397,Medical Incident,01/25/2002,94118.0,3.0,MEDIC,2.6666667
2007401,Medical Incident,01/25/2002,94103.0,3.0,MEDIC,4.65
2007425,Medical Incident,01/25/2002,94134.0,3.0,ENGINE,2.7
2007435,Alarms,01/25/2002,94104.0,3.0,ENGINE,4.0833335
2007484,Medical Incident,01/25/2002,94109.0,3.0,MEDIC,2.0833333
2007494,Medical Incident,01/25/2002,94103.0,2.0,MEDIC,2.2333333
2007507,Medical Incident,01/25/2002,,2.0,MEDIC,2.6833334
2007516,Outside Fire,01/25/2002,94116.0,3.0,ENGINE,2.55
2007517,Alarms,01/25/2002,,3.0,TRUCK,3.8833334
2007541,Medical Incident,01/25/2002,94102.0,3.0,MEDIC,4.0666666
2007545,Medical Incident,01/25/2002,94103.0,3.0,MEDIC,6.5
2007551,Medical Incident,01/25/2002,94123.0,3.0,ENGINE,2.9
2007562,Medical Incident,01/25/2002,94110.0,3.0,ENGINE,3.5166667
2007582,Medical Incident,01/25/2002,94116.0,3.0,MEDIC,2.4833333
2007606,Medical Incident,01/26/2002,94124.0,3.0,MEDIC,1.9166666
2007618,Medical Incident,01/26/2002,94102.0,3.0,ENGINE,4.266667
2007621,Medical Incident,01/26/2002,94117.0,3.0,ENGINE,3.4
2007624,Medical Incident,01/26/2002,94102.0,3.0,ENGINE,3.2666667
2007642,Medical Incident,01/26/2002,94124.0,3.0,ENGINE,3.8833334
2007663,Medical Incident,01/26/2002,94112.0,3.0,ENGINE,3.5333333
2007688,Medical Incident,01/26/2002,94114.0,3.0,MEDIC,2.7166667
2007697,Alarms,01/26/2002,94133.0,3.0,CHIEF,3.4833333
2007704,Medical Incident,01/26/2002,94127.0,3.0,MEDIC,3.4
2007707,Medical Incident,01/26/2002,94107.0,3.0,ENGINE,2.0666666
2007707,Medical Incident,01/26/2002,94107.0,3.0,RESCUE CAPTAIN,3.2
2007712,Structure Fire,01/26/2002,94123.0,3.0,TRUCK,3.15
2007733,Medical Incident,01/26/2002,94112.0,3.0,MEDIC,3.95
2007757,Medical Incident,01/26/2002,94112.0,2.0,MEDIC,4.5333333
2007773,Citizen Assist / Service Call,01/26/2002,94122.0,3.0,CHIEF,4.95
2007781,Medical Incident,01/26/2002,94133.0,3.0,MEDIC,4.733333
